labels,text,lang,sentiment
spam,"Avez-vous entendu parler de la nouvelle ""Divorce Barbie""? Il vient avec tous les trucs de Ken!",french,Neutral
ham,Donc ça veut dire que tu penses toujours au teju,french,Negative
ham,"Ron a dit que Ding tai feng ne pouvait pas faire de réservation, mais il a dit attends lor.",french,Neutral
ham,Jus finit de se baigner...,french,Neutral
ham,"Et au fait, je viens de perdre.",french,Neutral
ham,Votre avis sur moi? 1. Plus de 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. caractère Spl 7. Pas mature 8. Élégant 9. Simple Pls réponse..,french,Positive
ham,"C'est comme un timing bizarre que la nuit que vous voulez, c'est que je vienne fumer, c'est le même jour qu'une tempête de merde m'est attribuée à toujours venir et faire fumer tout le monde.",french,Negative
ham,"Elle était supposée l'être mais ne pouvait pas y arriver, mais elle est toujours en ville.",french,Neutral
ham,Tu peux te rappeler des choses dont tu veux te souvenir plus tard.,french,Negative
ham,IDPS basé sur l'hôte pour les systèmes linux.,french,Neutral
ham,"Une citation célèbre : lorsque vous développez la capacité d'écouter « n'importe quoi » inconditionnellement sans perdre votre tempérament ou votre confiance en vous, cela signifie que vous êtes..................... ""MARRIED""",french,Neutral
ham,Suis-je si sale?,french,Neutral
ham,J'espère que vous avez énervé Arnt mais id aimerait vraiment vous voir demain. Aimez-moi xxxxxxxxxxX,french,Neutral
ham,"Passez une belle nuit et quand vous vous réveillerez pour voir ce message, j'espère que vous sourire en sachant que tout est comme il devrait être.",french,Negative
ham,La longueur est e même mais e top plus court n j'ai une frange maintenant. Je ne vais pas liao. Trop paresseux. Dun wan 2 distraire u aussi.,french,Positive
ham,"Non, ça veut juste dire que tu as une grosse tête",french,Negative
ham,aathi..où es-tu cher..,french,Neutral
ham,Je suis quelqu'un qui fait un sondage...,french,Neutral
spam,L'argent que j'ai gagné le numéro 946 wot do i do next,french,Neutral
ham,Je ne sais pas jusqu'à quand... allons apprendre les pilates...,french,Neutral
spam,S'il vous plaît APPELEZ 08712402902 immédiatement car il y a un message urgent vous attendant.,french,Positive
spam,"Appelez le 09094100151 pour utiliser les minutes! Appels moulés 10p/min (mob varient). Service fourni par AOM, seulement GBP5/mois. AOM Box61,M60 1ER jusqu'à l'arrêt.",french,Neutral
ham,Je m'ennuie tellement...,french,Neutral
ham,"Je vais finir mon bain, bonne nuit.",french,Neutral
ham,Yun ah.maintenant ü wkg où?btw si ü go nus sc. Ü wana se spécialise en wad?,french,Neutral
ham,Hey! N'oubliez pas... Vous êtes MINE... Pour MOI... Ma possession... MA propriété... MMM... * sourire enfantin*...,french,Neutral
ham,Comment allez-vous?,french,Neutral
